# vx(Ang/fs) vy(Ang/fs) vz(Ang/fs)
3.551137541250368179e-02 -3.073410591789066740e-02 2.747512114610563966e-02
2.507735555271521297e-02 6.402754130674322142e-02 -1.478559639216202141e-02
-6.166305186622216342e-03 -2.501978479575701214e-02 -1.625207097598731568e-02
-2.817358015281750533e-02 5.503027591219501920e-03 1.510713580612371536e-02
-3.347497747639396198e-02 8.723557584382726077e-03 -2.225533890313507665e-02
-2.713380787486898219e-02 -7.726161933896850964e-02 1.535808998616570130e-02
1.118717787413312514e-01 4.658064837156621063e-02 -6.174643467718682853e-03
-7.751183880781251090e-02 8.180733661271040458e-03 1.527302811080627487e-03
