# vx(Ang/fs) vy(Ang/fs) vz(Ang/fs)
2.132354044584062070e-03 -2.129737806195013475e-02 2.283312430015980651e-02
3.176619675418142913e-02 3.385156948486696404e-02 -1.038548171914509266e-02
-2.040454361608992975e-02 -3.170012389849001522e-02 -1.892457252991824185e-02
3.220037968316633026e-02 -9.445169876373763276e-03 2.181647764014510438e-02
3.095991201700666953e-02 3.083276078445553250e-02 -7.809288092532325719e-03
-4.078751499534882113e-02 -1.618035877481421858e-02 8.180685066952533835e-03
-3.773400456251849340e-03 -1.279124518103115678e-02 1.149015524110488101e-02
-3.209338444184217654e-02 2.672993470908825719e-02 -2.720112103475107873e-02
